,batt,solar,shape,defer
0,-0.0,0.0,0.0,0.0
1,-0.0,0.0,0.0,0.0
2,-0.0003,0.0,0.0,0.0
3,-0.0016,0.0,0.0,0.0
4,-0.0,0.0,0.0,0.0
5,-0.0,0.0009,0.0,0.0
6,-0.0018,0.0031,0.0,0.0
7,-0.0037,0.0054,0.0,0.0001
8,-0.0,0.0074,0.0,0.0011
9,-0.0,0.0091,0.0,0.0017
10,-0.0,0.0104,0.0,0.0043
11,-0.0,0.0111,0.0,0.0056
12,-0.0,0.0112,0.0108,0.002
13,-0.0,0.0107,0.0091,0.0013
14,-0.0,0.0097,0.0004,0.0026
15,-0.0,0.0081,0.0038,0.0
16,-0.0,0.0062,0.0,0.0
17,0.0,0.004,0.0,0.0
18,0.0,0.0017,0.0,0.0
19,0.0029,0.0001,0.0,0.0
20,0.0024,0.0,0.0,0.0
21,0.0008,0.0,0.0,0.0
22,0.0005,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
